"Characteristics","Overall","2014-15 study","2021-23 study","P-value","Test"
"Patient characteristics","(n=707)","(n=328)","(n=379)","",""
"Age in years, median (IQR)","71.00 (62.00, 79.00)","73.00 (64.00, 82.00)","69.00 (61.00, 77.00)","<0.001","nonnorm"
"Male sex","367 (51.9)","170 (51.8)","197 (52.0)","1.00",""
"Race","","","","NaN",""
"   African American","61 (16.1)","-","61 (16.1)","",""
"   American Indian","1 (0.3)","-","1 (0.3)","",""
"   Asian","34 (9.0)","-","34 (9.0)","",""
"   Caucasian","208 (54.9)","-","208 (54.9)","",""
"   More than one race","4 (1.1)","-","4 (1.1)","",""
"   Other","71 (18.7)","-","71 (18.7)","",""
"Non-Hispanic white","140 (36.9)","-","140 (36.9)","NaN",""
"Length of stay before culture, median (IQR)","25.00 (8.00, 55.00)","20.00 (5.00, 43.00)","32.00 (11.00, 71.00)","<0.001","nonnorm"
"Isolate characteristics","(n=881)","(n=374)","(n=507)","",""
"Site of infection","","","","<0.001","exact"
"   Blood","95 (10.8)","30 (8.0)","65 (12.8)","",""
"   Other","10 (1.1)","0 (0.0)","10 (2.0)","",""
"   Respiratory","459 (52.1)","217 (58.0)","242 (47.7)","",""
"   Urine","234 (26.6)","121 (32.4)","113 (22.3)","",""
"   Wound","83 (9.4)","6 (1.6)","77 (15.2)","",""
"Long-term acute care hospital (LTACH)","","","","0.37","exact"
"   LTACH 1","107 (12.1)","59 (15.8)","48 (9.5)","",""
"   LTACH 2","30 (3.4)","14 (3.7)","16 (3.2)","",""
"   LTACH 3","88 (10.0)","39 (10.4)","49 (9.7)","",""
"   LTACH 4","103 (11.7)","51 (13.6)","52 (10.3)","",""
"   LTACH 5","78 (8.9)","37 (9.9)","41 (8.1)","",""
"   LTACH 6","112 (12.7)","0 (0.0)","112 (22.1)","",""
"   LTACH 7","65 (7.4)","32 (8.6)","33 (6.5)","",""
"   LTACH 8","34 (3.9)","14 (3.7)","20 (3.9)","",""
"   LTACH 9","30 (3.4)","17 (4.5)","13 (2.6)","",""
"   LTACH 10","64 (7.3)","22 (5.9)","42 (8.3)","",""
"   LTACH 11","32 (3.6)","16 (4.3)","16 (3.2)","",""
"   LTACH 12","79 (9.0)","34 (9.1)","45 (8.9)","",""
"   LTACH 13","59 (6.7)","39 (10.4)","20 (3.9)","",""
