"","Isolate","Accession","Instrument","Study","Source category","Facility","Assembly length (bp)","Number of contigs","N50","Coverage","Species","Sequence type"
"1","PCMP_H112","SRR10116538","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5577476,79,270452,154.852,"Klebsiella pneumoniae","ST258"
"2","PCMP_H113","SRR10116537","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5945568,102,213658,255.965,"Klebsiella pneumoniae","ST258"
"3","PCMP_H338","SRR10116641","Illumina HiSeq 2500","2014-15","Blood","LTACH 7",5950498,101,210971,109.962,"Klebsiella pneumoniae","ST258"
"4","PCMP_H114","SRR10116536","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 4",5757169,73,207052,126.762,"Klebsiella pneumoniae","ST15"
"5","PCMP_H115","SRR10116535","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5706623,83,234019,103.812,"Klebsiella pneumoniae","ST258"
"6","PCMP_H116","SRR10116534","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5643299,83,209760,162.937,"Klebsiella pneumoniae","ST258"
"7","PCMP_H211","SRR10116433","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5537285,78,192213,194.379,"Klebsiella pneumoniae","ST258"
"8","PCMP_H117","SRR10116533","Illumina HiSeq 2500","2014-15","Urine","LTACH 10",5681572,82,234019,131.349,"Klebsiella pneumoniae","ST258"
"9","PCMP_H119","SRR10116531","Illumina HiSeq 2500","2014-15","Wound","LTACH 12",5801620,90,214732,192.151,"Klebsiella pneumoniae","ST258"
"10","PCMP_H120","SRR10116529","Illumina HiSeq 2500","2014-15","Urine","LTACH 10",5576197,63,237760,98.4166,"Klebsiella pneumoniae","ST258"
"11","PCMP_H121","SRR10116528","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5693833,82,225374,84.4811,"Klebsiella pneumoniae","ST258"
"12","PCMP_H122","SRR10116527","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 8",5566630,63,231093,130.153,"Klebsiella pneumoniae","ST258"
"13","PCMP_H11","SRR10116726","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",6102032,112,209776,475.801,"Klebsiella pneumoniae","ST258"
"14","PCMP_H123","SRR10116526","Illumina HiSeq 2500","2014-15","Urine","LTACH 4",5530280,64,237760,132.472,"Klebsiella pneumoniae","ST258"
"15","PCMP_H125","SRR10116524","Illumina HiSeq 2500","2014-15","Urine","LTACH 7",5414848,65,270452,167.051,"Klebsiella pneumoniae","ST258"
"16","PCMP_H131","SRR10116518","Illumina HiSeq 2500","2014-15","Urine","LTACH 5",5630941,68,270193,95.6876,"Klebsiella pneumoniae","ST258"
"17","PCMP_H132","SRR10116517","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 12",5703017,78,268501,121.74,"Klebsiella pneumoniae","ST258"
"18","PCMP_H133","SRR10116516","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 7",5535197,57,321835,133.42,"Klebsiella pneumoniae","ST258"
"19","PCMP_H12","SRR10116541","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 3",5667048,79,237852,224.666,"Klebsiella pneumoniae","ST258"
"20","PCMP_H134","SRR10116515","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 9",5708138,70,225025,125.566,"Klebsiella pneumoniae","ST258"
"21","PCMP_H135","SRR10116514","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 5",6078145,99,208675,144.103,"Klebsiella pneumoniae","ST258"
"22","PCMP_H136","SRR10116513","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 13",5693336,74,237852,110.811,"Klebsiella pneumoniae","ST258"
"23","PCMP_H137","SRR10116512","Illumina HiSeq 2500","2014-15","Respiratory","LTACH 10",5392101,54,270452,151.347,"Klebsiella pneumoniae","ST258"
"24","PCMP_H138","SRR10116511","Illumina HiSeq 2500","2014-15","Urine","LTACH 13",5410361,54,237759,102.179,"Klebsiella pneumoniae","ST258"
